260		# total colors
16		# column width
# palette data r,g,b,a
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
33,71,222,255
255,255,151,255
0,0,0,255
0,0,0,255
222,0,0,255
33,222,222,255
0,0,0,255
0,0,0,255
151,151,151,255
222,151,71,255
0,0,0,255
0,0,0,255
255,255,0,255
222,151,71,255
222,0,0,255
0,0,0,255
255,255,0,255
222,151,71,255
255,255,151,255
0,0,0,255
222,0,0,255
222,151,71,255
0,0,0,255
222,151,71,255
222,0,0,255
222,0,0,255
222,0,0,255
222,151,71,255
222,222,222,255
222,222,222,255
222,222,222,255
222,151,71,255
104,0,0,255
33,71,222,255
222,222,222,255
222,151,71,255
104,0,0,255
222,222,222,255
222,0,0,255
0,0,0,255
222,0,0,255
255,255,0,255
0,104,0,255
0,0,0,255
0,104,0,255
255,255,0,255
71,184,0,255
0,0,0,255
71,184,0,255
222,151,71,255
184,71,0,255
0,0,0,255
184,71,0,255
222,151,71,255
0,0,0,255
0,0,0,255
71,104,71,255
222,151,71,255
184,71,0,255
0,0,0,255
151,151,151,255
222,151,71,255
184,71,0,255
0,0,0,255
0,104,0,255
255,255,0,255
71,184,0,255
0,0,0,255
255,255,151,255
222,0,0,255
0,104,0,255
0,0,0,255
33,222,222,255
255,255,0,255
0,104,0,255
0,0,0,255
255,255,0,255
71,184,0,255
0,104,0,255
0,0,0,255
104,0,0,255
222,151,71,255
184,71,0,255
0,0,0,255
255,255,0,255
222,151,71,255
222,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
222,151,71,255
0,0,0,255
0,0,0,255
222,222,222,255
222,151,71,255
0,0,0,255
0,0,0,255
222,0,0,255
0,0,0,255
33,71,151,255
255,255,0,255
71,104,71,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
222,222,222,255
222,222,222,255
222,222,222,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,255,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,255,0,255
255,255,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,255,0,255
0,0,0,255
255,255,151,255
222,0,0,255
71,184,0,255
0,0,0,255
33,71,222,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
33,71,222,255
33,71,222,255
0,0,0,255
0,0,0,255
33,71,222,255
0,0,0,255
0,0,0,255
222,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
222,0,0,255
222,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
222,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
33,222,222,255
0,0,0,255
222,0,0,255
222,0,0,255
222,0,0,255
33,222,222,255
0,0,0,255
0,0,0,255
0,0,0,255
33,222,222,255
0,0,0,255
0,0,0,255
222,0,0,255
33,222,222,255
0,0,0,255
0,0,0,255
255,255,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,0,0,255
222,222,222,255
0,0,0,255
